
File 1    File 2    Sentence
sd-       sd--      You have two types of Lock, the CanNotDelete Lock and the ReadOnly Lock.
sd--      sd-       You have here the features of these two locks.
sd-       sd+       If you select one virtual machine and you apply a CanNotDelete Lock, then users can read, can access to the virtual machine can update they virtual matching with new features etc.
sd--      sd-       Let me check if the new policy has been applied.
sd--      sd+       And if you remember, before that I get an error message and now the policy is not applied and is being successful.
sd-       sd--      ah no, this is the Lock.
sd-       sd--      Ah let me check, I have the Lock here.
sd-       sd--      this was in this case a security rule that I decide to lock.
sd--      sd-       So, I can go to my let me check a the this one... Locks...  the resource, let me check...  It's not that one...  this is why if you have define different groups is easier to manage.
sd-       sd--      Okay, so I have here let me check if a have any lock... no and here...  yeah...  you see that for every resource I'm navigating, I can check if they have lock or not.
sd-       sd--      So it's as simple as going to lock apply Add Lock, you  just put the name, for example, not remove Internet nick.
sd+       sd--      Remember that we have to lock types Delete or ReadOnly so I select Delete, I apply okay, so now it has one lock.
sd--      sd-       I'm going to wait a little bit.
sd+       sd--      For example, I can put here this is a key value pair so I can put whatever I want here.
sd-       sd+       So now I apply and if I go to the tag, now this network interface has this tag okay.
sd-       sd+       Because imagine that you have developed, deployed sorry, a lot of features, I can navigate through tags, okay.
sd-       sd--      And I say for example, "show me everything that is tagged with with thesis experiment number one",
sd-       sd--      Yes and this is what happened: you receive a message saying "this scope is locked" okay and it tells you "remove a lock if you want and try again".
sd-       sd+       Okay, so, going back to the presentation, these are Locks these are the Tags, okay, I just tell you what tasks are and also a quick walkthrough.
sd-       sd--      So the solution are the policies.
sd-       sd--      Policies at the end are a group of different rules that you want to apply to a specific resources.
sd-       sd+       So you can define a specific police for example, who can access, what things can be removed with locks, the tags that you want to apply, etc, etc.
sd--      sd-       In your policy, you can indicate that your resources must be deployed within Europe.
sd-       sd+       So you remember when we deploy a new virtual machine, we can select the region that where we want to deploy the virtual machine.
sd-       sd+       If the policy of my company says that that resource must be deployed within Europe and I tried to deploy the resource in Asia, I will receive a message and I won't be able to deploy the new virtual machine.
sd--      sd-       There is a higher level of abstraction here that are the blueprint, okay.
sd+       sd-       Blueprints are the mix of different policies, different rules, and different manager templates.
sd+       sd--      So it's in a higher level that you want to replicate your company policies in different ambits, okay, in a higher level.
sd-       sd--      And then do you need in in, let's say, a long lifecycle to control that everything in your in your deployment is done following the policies that you have defined in your previous plan.
sd--      sd-       And previously I have told you what are the tools that Azure provide you in order to help you to, to complete this assessment.
sd--      sd+       So if you deploy the service that you need for that research project within a service like Azure, then you will be in in a good position to complete your data protection plan, because you have a lot of previous services that have been done by Microsoft.
sd-       sd+       For example, Microsoft Azure Cloud has been a Secured by Design all as you can see, there are many, many, many solution features that you want, that you can apply.
sd--      sd-       So you can be sure that if you deploy one service in a European region, you are meeting the European laws, okay?
sd--      sd+       For example, regarding European laws, there is the famous or infamous article 29 of the EU working party saying that, or stating how data must be managed, okay, so if you deploy your servers in a region within Europe, you can be sure that all data is managed following, this kind of clauses, okay.
sd-       sd--      The same for the States and any other, any other law, laws and regulations that can apply.
sd+       sd-       And also, you can sign for a specific data protection addenda okay.
sd-       sd+       I just chose bigger samples that in order to to show that Azure is able to meet any kind of restriction, there is a specific slice or a specific part of Azure that is devoted to deploy United States government services.
sd-       sd+       It has been tested following different standards and a there are federal and local services that are being deployed in Azure cloud
sd--      sd-       thanks to these kind of a separate regions that are not shared with any other user just in this case for the US government.
sd-       sd+       You know that if you want to give services in China you need to follow specific rules relating with the owner of data, data grant access, audit etc.
sd--      sd+       So, you can even deploy your cloud services at China regional data centre, okay?
sd-       sd+       And the final it's a more complex walkthrough that is how to create an Azure policy, including network resource groups, sorry, network security groups, rules, laws, etcetera, etcetera.
sd--      sd-       So, in this module that I went very fast because as you see it's so theoretical  and maybe for you it's not that interesting
sd-       sd+       so we have seen different identity features and services, how to control the life circle of the resources and finally how to meet the different rules, standards and regulations of its area. In all of my slides, that you have already uploaded to Teams group, you have the learn path that you should follow if you decide to go through the certification exam, okay? So, my recommendation is that you take enough time, you read all the learn paths and you will be in a good position to complete the certification that as I said before, we will inform you in some days how to complete that. Okay, so, any doubt, any question?

The total error is: 383 
The number of sentences is: 666
The score of the comparison is: 80.83083083083082%
- SD++  File 1: 12, File 2: 36
- SD+   File 1: 122, File 2: 178
- SD-   File 1: 268, File 2: 223
- SD--  File 1: 264, File 2: 229
